tourney_date,tourney_name,surface,tourney_level,round,first_player_height,first_player_age,first_player_rank,first_player_ace,first_player_double_fault,second_player_height,second_player_age,second_player_rank,second_player_ace,second_player_double_fault,first_player,second_player,winner_player,player1_AceAverage_AllTime,player2_AceAverage_AllTime,player1_AceAverage_surface,player2_AceAverage_surface,player1_win_avr_surface_alltime,player2_win_avr_surface_alltime,year,player1_win_avr_surface_and_year,player2_win_avr_surface_and_year
20121230,Brisbane,Hard,A,R32,190.0,23.4,30.0,3.0,3.0,188.0,26.3,43.0,6.0,2.0,Martin Klizan,Denis Istomin,2,0.0,0.0,0.0,0.0,0.0,0.0,2012,0.0,0.0
20121230,Brisbane,Hard,A,R32,185.0,31.4,41.0,4.0,1.0,185.0,31.0,35.0,6.0,6.0,Jarkko Nieminen,Julien Benneteau,1,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,183.0,20.6,69.0,4.0,1.0,180.0,30.6,114.0,6.0,0.0,Ryan Harrison,Tommy Robredo,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,194.0,27.3,49.0,3.0,1.0,178.0,23.0,19.0,2.0,0.0,Marinko Matosevic,Kei Nishikori,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,188.0,25.0,57.0,3.0,0.0,190.0,29.2,28.0,6.0,1.0,Santiago Giraldo,Florian Mayer,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,183.0,27.5,36.0,5.0,1.0,183.0,20.0,327.0,5.0,1.0,Marcos Baghdatis,Benjamin Mitchell,1,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,185.0,29.1,54.0,11.0,1.0,175.0,25.2,104.0,5.0,2.0,Alejandro Falla,Jesse Levine,1,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,180.0,20.3,137.0,3.0,3.0,183.0,31.6,29.0,5.0,1.0,Denis Kudla,Jurgen Melzer,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,188.0,25.0,105.0,1.0,4.0,180.0,22.0,46.0,2.0,2.0,Matthew Ebden,David Goffin,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R32,190.0,27.6,61.0,6.0,2.0,188.0,21.6,48.0,10.0,1.0,Brian Baker,Grigor Dimitrov,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R16,183.0,23.5,199.0,2.0,5.0,190.0,25.6,3.0,7.0,3.0,John Millman,Andy Murray,2,,,,,,,2012,,
20121230,Brisbane,Hard,A,R16,188.0,26.3,43.0,11.0,2.0,180.0,31.8,83.0,3.0,1.0,Denis Istomin,Lleyton Hewitt,1,6.0,,6.0,,1.0,,2012,1.0,
20121230,Brisbane,Hard,A,R16,180.0,24.1,18.0,6.0,0.0,185.0,31.4,41.0,0.0,1.0,Alexandr Dolgopolov,Jarkko Nieminen,1,,4.0,,4.0,,1.0,2012,,1.0
20121230,Brisbane,Hard,A,R16,178.0,23.0,19.0,1.0,1.0,180.0,30.6,114.0,4.0,2.0,Kei Nishikori,Tommy Robredo,1,2.0,6.0,2.0,6.0,1.0,1.0,2012,1.0,1.0
20121230,Brisbane,Hard,A,R16,190.0,29.2,28.0,1.0,0.0,183.0,27.5,36.0,15.0,2.0,Florian Mayer,Marcos Baghdatis,2,6.0,5.0,6.0,5.0,1.0,1.0,2012,1.0,1.0
20121230,Brisbane,Hard,A,R16,183.0,28.0,16.0,5.0,1.0,185.0,29.1,54.0,6.0,2.0,Gilles Simon,Alejandro Falla,1,,11.0,,11.0,,1.0,2012,,1.0
20121230,Brisbane,Hard,A,R16,180.0,22.0,46.0,6.0,4.0,183.0,31.6,29.0,7.0,2.0,David Goffin,Jurgen Melzer,2,2.0,5.0,2.0,5.0,1.0,1.0,2012,1.0,1.0
20121230,Brisbane,Hard,A,R16,188.0,21.6,48.0,10.0,4.0,196.0,22.0,13.0,4.0,2.0,Grigor Dimitrov,Milos Raonic,1,10.0,,10.0,,1.0,,2012,1.0,
20121230,Brisbane,Hard,A,QF,188.0,26.3,43.0,7.0,1.0,190.0,25.6,3.0,4.0,2.0,Denis Istomin,Andy Murray,2,8.5,7.0,8.5,7.0,1.0,1.0,2012,1.0,1.0
20121230,Brisbane,Hard,A,QF,180.0,24.1,18.0,4.0,0.0,178.0,23.0,19.0,5.0,0.0,Alexandr Dolgopolov,Kei Nishikori,2,6.0,1.5,6.0,1.5,1.0,1.0,2012,1.0,1.0
20121230,Brisbane,Hard,A,QF,183.0,27.5,36.0,6.0,2.0,183.0,28.0,16.0,3.0,2.0,Marcos Baghdatis,Gilles Simon,1,10.0,5.0,10.0,5.0,1.0,1.0,2012,1.0,1.0
