Tournament,Court,Surface,Wrank,Wage,Wheight,Wtitles,Wh2h,winner_hand,winner_weight,winner_YTD_Won_Lost,winner_YTD_Titles,winner_CAREER_W_L,winner_Career_Prize_Money,Lrank,Lage,Lheight,Ltitles,Lh2h,loser_hand,loser_weight,loser_YTD_Won_Lost,loser_YTD_Titles,loser_CAREER_W_L,loser_Career_Prize_Money,Winner,Loser,random_player,winner_player
Delray Beach,Outdoor,Hard,107,24,183.0,0,0,R,174,1,0,-12,"784,467",525,26,196.0,0,0,L,198,0,0,0,"103,617",Stefan Kozlov,Johannes Haerteis,Johannes Haerteis,2
Delray Beach,Outdoor,Hard,525,26,196.0,0,0,L,198,0,0,0,"103,617",107,24,183.0,0,0,R,174,1,0,-12,"784,467",Stefan Kozlov,Johannes Haerteis,Johannes Haerteis,2
Delray Beach,Outdoor,Hard,448,29,198.0,0,0,R,190,0,0,5,"146,437",796,31,191.0,0,0,L,190,0,0,-5,"311,198",Kevin King,Benjamin Lock,Benjamin Lock,2
Delray Beach,Outdoor,Hard,188,28,193.0,0,0,R,180,0,0,0,"145,425",705,20,185.0,0,0,R,165,0,0,0,"72,636",Zane Khan,Alexander Ritschard,Alexander Ritschard,2
Delray Beach,Outdoor,Hard,305,30,193.0,0,0,L,193,-1,0,0,"385,902",1369,33,178.0,0,0,L,175,0,0,-1,"559,971",Roberto Quiroz,Gonzalo Escobar,Roberto Quiroz,1
Delray Beach,Outdoor,Hard,523,29,180.0,0,0,R,174,0,0,-1,"155,732",591,32,183.0,0,0,L,175,0,0,-66,"4,674,967",Donald Young,Pedro Sakamoto,Pedro Sakamoto,2
Delray Beach,Outdoor,Hard,502,20,185.0,0,0,R,175,0,0,0,"33,202",352,27,185.0,0,0,L,174,0,0,0,"391,626",Goncalo Oliveira,Liam Draxl,Liam Draxl,2
Delray Beach,Outdoor,Hard,807,31,193.0,0,0,R,194,0,0,-3,"386,886",341,25,188.0,0,0,L,180,0,0,-2,"120,423",Viktor Galovic,Aziz Dougaz,Viktor Galovic,1
Delray Beach,Outdoor,Hard,251,28,180.0,0,0,R,170,-1,0,-3,"528,869",129,24,191.0,0,0,R,194,-1,0,-4,"436,932",Christian Harrison,Tomas Barrios Vera,Christian Harrison,1
Delray Beach,Outdoor,Hard,591,32,183.0,0,2,L,175,0,0,-66,"4,674,967",107,24,183.0,0,0,R,174,1,0,-12,"784,467",Donald Young,Stefan Kozlov,Donald Young,1
Delray Beach,Outdoor,Hard,251,28,180.0,0,0,R,170,-1,0,-3,"528,869",705,20,185.0,0,0,R,165,0,0,0,"72,636",Christian Harrison,Zane Khan,Christian Harrison,1
